,country_pair,prompt_style,model_name,temperature,sim_score_1 (s(p,q)),sim_score_2 (s(q,p)),sim_diff,p-values
0,U.S.A.-Mexico,Single_Similar_Degree (SSD),mistral_7B,0.001,18,18,0,[]
1,U.S.S.R.-Poland,Single_Similar_Degree (SSD),mistral_7B,0.001,10,10,0,[]
2,China-Albania,Single_Similar_Degree (SSD),mistral_7B,0.001,5,1,4,[]
3,U.S.A.-Israel,Single_Similar_Degree (SSD),mistral_7B,0.001,18,14,4,[]
4,Japan-Philippines,Single_Similar_Degree (SSD),mistral_7B,0.001,15,15,0,[]
5,U.S.A.-Canada,Single_Similar_Degree (SSD),mistral_7B,0.001,18,18,0,[]
6,U.S.S.R.-Israel,Single_Similar_Degree (SSD),mistral_7B,0.001,10,1,9,[]
7,England-Ireland,Single_Similar_Degree (SSD),mistral_7B,0.001,18,18,0,[]
8,Germany-Austria,Single_Similar_Degree (SSD),mistral_7B,0.001,18,18,0,[]
9,U.S.S.R.-France,Single_Similar_Degree (SSD),mistral_7B,0.001,10,1,9,[]
10,Belgium-Luxembourg,Single_Similar_Degree (SSD),mistral_7B,0.001,19,19,0,[]
11,U.S.A.-U.S.S.R.,Single_Similar_Degree (SSD),mistral_7B,0.001,10,10,0,[]
12,China-North Korea,Single_Similar_Degree (SSD),mistral_7B,0.001,16,15,1,[]
13,India-Sri Lanka,Single_Similar_Degree (SSD),mistral_7B,0.001,16,18,-2,[]
14,U.S.A.-France,Single_Similar_Degree (SSD),mistral_7B,0.001,15,18,-3,[]
15,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),mistral_7B,0.001,10,1,9,[]
16,England-Jordan,Single_Similar_Degree (SSD),mistral_7B,0.001,5,15,-10,[]
17,France-Israel,Single_Similar_Degree (SSD),mistral_7B,0.001,14,14,0,[]
18,U.S.A.-Germany,Single_Similar_Degree (SSD),mistral_7B,0.001,15,15,0,[]
19,U.S.S.R.-Syria,Single_Similar_Degree (SSD),mistral_7B,0.001,1,1,0,[]
20,France-Algeria,Single_Similar_Degree (SSD),mistral_7B,0.001,16,16,0,[]
21,U.S.A.-Mexico,Single_Similar_Degree (SSD),mistral_7B,0.5,15,15,0,[]
22,U.S.S.R.-Poland,Single_Similar_Degree (SSD),mistral_7B,0.5,10,15,-5,[]
23,China-Albania,Single_Similar_Degree (SSD),mistral_7B,0.5,5,4,1,[]
24,U.S.A.-Israel,Single_Similar_Degree (SSD),mistral_7B,0.5,16,15,1,[]
25,Japan-Philippines,Single_Similar_Degree (SSD),mistral_7B,0.5,10,13,-3,[]
26,U.S.A.-Canada,Single_Similar_Degree (SSD),mistral_7B,0.5,19,18,1,[]
27,U.S.S.R.-Israel,Single_Similar_Degree (SSD),mistral_7B,0.5,0,4,-4,[]
